# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3131 5 2 16777236 456490722 3 ./scripts-old/ntop/ntop/installer/.svn/format
DUPTYPE_FIRST_OCCURRENCE 4040 5 7 16777236 456493950 3 ./scripts-old/ntop/ntop/packages/debian/docs
DUPTYPE_WITHIN_SAME_TREE -4040 7 7 16777236 456488822 3 ./scripts-old/ntop/ntop/packages/debian/.svn/text-base/docs.svn-base
DUPTYPE_FIRST_OCCURRENCE 93 1 7 16777236 456493772 3 ./_check_me/celar
DUPTYPE_WITHIN_SAME_TREE -93 1 7 16777236 456493785 3 ./_check_me/cl
DUPTYPE_FIRST_OCCURRENCE 455 2 8 16777236 456497614 3 ./skype-as-jd.app/Contents/PkgInfo
DUPTYPE_WITHIN_SAME_TREE -455 3 8 16777236 456497131 3 ./2013-dropbox-start-scripts/Dropbox-All-v1.2.app/Contents/PkgInfo
DUPTYPE_WITHIN_SAME_TREE -455 3 8 16777236 456493687 3 ./2013-dropbox-start-scripts/Dropbox-pickthree.app/Contents/PkgInfo
DUPTYPE_WITHIN_SAME_TREE -455 3 8 16777236 456499006 3 ./2013-dropbox-start-scripts/Dropbox-JD.app/Contents/PkgInfo
DUPTYPE_WITHIN_SAME_TREE -455 3 8 16777236 456495813 3 ./2013-dropbox-start-scripts/Dropbox-All-v1.0.app/Contents/PkgInfo
DUPTYPE_WITHIN_SAME_TREE -455 3 8 16777236 456497132 3 ./2013-dropbox-start-scripts/Dropbox-All-v1.1.app/Contents/PkgInfo
DUPTYPE_FIRST_OCCURRENCE 3075 3 10 16777236 456491741 3 ./scripts-old/ntop/ntop/stamp-h.in
DUPTYPE_WITHIN_SAME_TREE -3075 5 10 16777236 456489678 3 ./scripts-old/ntop/ntop/.svn/text-base/stamp-h.in.svn-base
DUPTYPE_FIRST_OCCURRENCE 5912 7 15 16777236 456488807 3 ./scripts-old/ntop/ntop/packages/debian/etc/ld.so.conf.d/ntop.conf
DUPTYPE_WITHIN_SAME_TREE -5912 9 15 16777236 456488217 3 ./scripts-old/ntop/ntop/packages/debian/etc/ld.so.conf.d/.svn/text-base/ntop.conf.svn-base
